time,h_plus,h_cross,amplitude
2.610000000000e+00,1.304655020636e-22,2.975816750101e-19,2.975817036094e-19
2.620000000000e+00,1.304655020636e-22,2.975816751652e-19,2.975817037645e-19
2.630000000000e+00,1.304654768201e-22,2.975816753203e-19,2.975817039196e-19
2.640000000000e+00,1.304654768201e-22,2.975816754754e-19,2.975817040747e-19
2.650000000000e+00,1.304654768201e-22,2.975816756305e-19,2.975817042297e-19
2.660000000000e+00,1.304654768201e-22,2.975816757856e-19,2.975817043848e-19
2.670000000000e+00,1.304654768201e-22,2.975816759406e-19,2.975817045399e-19
2.680000000000e+00,1.304655020636e-22,2.975816760957e-19,2.975817046950e-19
2.690000000000e+00,1.304655020636e-22,2.975816762508e-19,2.975817048501e-19
2.700000000000e+00,1.304655020636e-22,2.975816764059e-19,2.975817050052e-19
2.710000000000e+00,1.304655020636e-22,2.975816765610e-19,2.975817051603e-19
2.720000000000e+00,1.304655020636e-22,2.975816767161e-19,2.975817053154e-19
2.730000000000e+00,1.304655020636e-22,2.975816768712e-19,2.975817054705e-19
2.740000000000e+00,1.304655020636e-22,2.975816770263e-19,2.975817056255e-19
2.750000000000e+00,1.304655020636e-22,2.975816771813e-19,2.975817057806e-19
2.760000000000e+00,1.304655020636e-22,2.975816773364e-19,2.975817059357e-19
2.770000000000e+00,1.304655020636e-22,2.975816774915e-19,2.975817060908e-19
2.780000000000e+00,1.304655020636e-22,2.975816776466e-19,2.975817062459e-19
2.790000000000e+00,1.304654768201e-22,2.975816778017e-19,2.975817064010e-19
2.800000000000e+00,1.304655020636e-22,2.975816779568e-19,2.975817065561e-19
2.810000000000e+00,1.304655020636e-22,2.975816781119e-19,2.975817067111e-19
2.820000000000e+00,1.304655020636e-22,2.975816782670e-19,2.975817068662e-19
2.830000000000e+00,1.304655020636e-22,2.975816784220e-19,2.975817070213e-19
2.840000000000e+00,1.304655020636e-22,2.975816785771e-19,2.975817071764e-19
2.850000000000e+00,1.304655020636e-22,2.975816787322e-19,2.975817073315e-19
2.860000000000e+00,1.304655020636e-22,2.975816788873e-19,2.975817074866e-19
2.870000000000e+00,1.304655020636e-22,2.975816790424e-19,2.975817076417e-19
2.880000000000e+00,1.304655020636e-22,2.975816791975e-19,2.975817077968e-19
2.890000000000e+00,1.304655020636e-22,2.975816793526e-19,2.975817079518e-19
2.900000000000e+00,1.304655020636e-22,2.975816795076e-19,2.975817081069e-19
2.910000000000e+00,1.304655020636e-22,2.975816796627e-19,2.975817082620e-19
2.920000000000e+00,1.304655273071e-22,2.975816798178e-19,2.975817084171e-19
2.930000000000e+00,1.304655273071e-22,2.975816799729e-19,2.975817085722e-19
2.940000000000e+00,1.304655273071e-22,2.975816801280e-19,2.975817087273e-19
2.950000000000e+00,1.304655020636e-22,2.975816802831e-19,2.975817088824e-19
2.960000000000e+00,1.304655020636e-22,2.975816804382e-19,2.975817090375e-19
2.970000000000e+00,1.304655020636e-22,2.975816805933e-19,2.975817091925e-19
2.980000000000e+00,1.304655020636e-22,2.975816807483e-19,2.975817093476e-19
2.990000000000e+00,1.304655020636e-22,2.975816809034e-19,2.975817095027e-19
3.000000000000e+00,1.304655020636e-22,2.975816810585e-19,2.975817096578e-19
3.010000000000e+00,1.304655020636e-22,2.975816812136e-19,2.975817098129e-19
3.020000000000e+00,1.304655020636e-22,2.975816813687e-19,2.975817099680e-19
3.030000000000e+00,1.304655020636e-22,2.975816815238e-19,2.975817101231e-19
3.040000000000e+00,1.304655273071e-22,2.975816816789e-19,2.975817102782e-19
